"filename", "language", "Batch", "Gradle", "Java Properties", "XML", "Kotlin", "JSON", "comment", "blank", "total"
"c:\Users\didac\OneDrive\Documentos\FP\CFGS\2nDAM\PROJECTES\SIM_BANK\.idea\compiler.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\didac\OneDrive\Documentos\FP\CFGS\2nDAM\PROJECTES\SIM_BANK\.idea\deploymentTargetDropDown.xml", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 17
"c:\Users\didac\OneDrive\Documentos\FP\CFGS\2nDAM\PROJECTES\SIM_BANK\.idea\gradle.xml", "XML", 0, 0, 0, 20, 0, 0, 0, 0, 20
"c:\Users\didac\OneDrive\Documentos\FP\CFGS\2nDAM\PROJECTES\SIM_BANK\.idea\misc.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\didac\OneDrive\Documentos\FP\CFGS\2nDAM\PROJECTES\SIM_BANK\.idea\vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\didac\OneDrive\Documentos\FP\CFGS\2nDAM\PROJECTES\SIM_BANK\app\build.gradle", "Gradle", 0, 74, 0, 0, 0, 0, 0, 12, 86
"c:\Users\didac\OneDrive\Documentos\FP\CFGS\2nDAM\PROJECTES\SIM_BANK\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 76, 0, 0, 76
"c:\Users\didac\OneDrive\Documentos\FP\CFGS\2nDAM\PROJECTES\SIM_BANK\app\src\androidTest\java\com\bluemeth\simbank\ExampleInstrumentedTest.kt", "Kotlin", 0, 0, 0, 0, 14, 0, 6, 4, 24
"c:\Users\didac\OneDrive\Documentos\FP\CFGS\2nDAM\PROJECTES\SIM_BANK\app\src\debug\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\didac\OneDrive\Documentos\FP\CFGS\2nDAM\PROJECTES\SIM_BANK\app\src\debug\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\didac\OneDrive\Documentos\FP\CFGS\2nDAM\PROJECTES\SIM_BANK\app\src\debug\res\values\ic_launcher_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\didac\OneDrive\Documentos\FP\CFGS\2nDAM\PROJECTES\SIM_BANK\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 77, 0, 0, 0, 5, 82
"c:\Users\didac\OneDrive\Documentos\FP\CFGS\2nDAM\PROJECTES\SIM_BANK\app\src\main\java\com\bluemeth\simbank\src\SimBankApp.kt", "Kotlin", 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\didac\OneDrive\Documentos\FP\CFGS\2nDAM\PROJECTES\SIM_BANK\app\src\main\java\com\bluemeth\simbank\src\core\Event.kt", "Kotlin", 0, 0, 0, 0, 17, 0, 0, 5, 22
"c:\Users\didac\OneDrive\Documentos\FP\CFGS\2nDAM\PROJECTES\SIM_BANK\app\src\main\java\com\bluemeth\simbank\src\core\delegate\WeakReferenceDelegate.kt", "Kotlin", 0, 0, 0, 0, 16, 0, 0, 8, 24
